ds,facility,max_spots,weekend,weekday,taken_digit,taken_paper,taken_all,perc_free
2020/1/1T0:00:00+00:00,Burgdorf,155,0,2,0,0,0,100.0
2020/1/1T1:00:00+00:00,Burgdorf,155,0,2,0,0,0,100.0
2020/1/1T2:00:00+00:00,Burgdorf,155,0,2,0,0,0,100.0
2020/1/1T3:00:00+00:00,Burgdorf,155,0,2,0,0,0,100.0
2020/1/1T4:00:00+00:00,Burgdorf,155,0,2,0,0,0,100.0
2020/1/1T5:00:00+00:00,Burgdorf,155,0,2,0,0,0,100.0
2020/1/1T6:00:00+00:00,Burgdorf,155,0,2,0,0,0,100.0
2020/1/1T7:00:00+00:00,Burgdorf,155,0,2,0,0,0,100.0
2020/1/1T8:00:00+00:00,Burgdorf,155,0,2,0,0,0,100.0
2020/1/1T9:00:00+00:00,Burgdorf,155,0,2,0,0,0,100.0
2020/1/1T10:00:00+00:00,Burgdorf,155,0,2,0,0,0,100.0
2020/1/1T11:00:00+00:00,Burgdorf,155,0,2,0,0,0,100.0
2020/1/1T12:00:00+00:00,Burgdorf,155,0,2,0,0,0,100.0
2020/1/1T13:00:00+00:00,Burgdorf,155,0,2,1,0,1,99.35
2020/1/1T14:00:00+00:00,Burgdorf,155,0,2,1,0,1,99.35
2020/1/1T15:00:00+00:00,Burgdorf,155,0,2,1,0,1,99.35
2020/1/1T16:00:00+00:00,Burgdorf,155,0,2,1,0,1,99.35
2020/1/1T17:00:00+00:00,Burgdorf,155,0,2,1,0,1,99.35
2020/1/1T18:00:00+00:00,Burgdorf,155,0,2,1,0,1,99.35
2020/1/1T19:00:00+00:00,Burgdorf,155,0,2,1,0,1,99.35
2020/1/1T20:00:00+00:00,Burgdorf,155,0,2,0,0,0,100.0
2020/1/1T21:00:00+00:00,Burgdorf,155,0,2,0,0,0,100.0
2020/1/1T22:00:00+00:00,Burgdorf,155,0,2,0,0,0,100.0
2020/1/1T23:00:00+00:00,Burgdorf,155,0,2,0,0,0,100.0
2020/1/2T0:00:00+00:00,Burgdorf,155,0,3,0,0,0,100.0
2020/1/2T1:00:00+00:00,Burgdorf,155,0,3,0,0,0,100.0
2020/1/2T2:00:00+00:00,Burgdorf,155,0,3,0,0,0,100.0
2020/1/2T3:00:00+00:00,Burgdorf,155,0,3,0,0,0,100.0
2020/1/2T4:00:00+00:00,Burgdorf,155,0,3,0,0,0,100.0
2020/1/2T5:00:00+00:00,Burgdorf,155,0,3,0,0,0,100.0
2020/1/2T6:00:00+00:00,Burgdorf,155,0,3,0,0,0,100.0
2020/1/2T7:00:00+00:00,Burgdorf,155,0,3,0,0,0,100.0
2020/1/2T8:00:00+00:00,Burgdorf,155,0,3,0,0,0,100.0
2020/1/2T9:00:00+00:00,Burgdorf,155,0,3,0,0,0,100.0
2020/1/2T10:00:00+00:00,Burgdorf,155,0,3,0,0,0,100.0
2020/1/2T11:00:00+00:00,Burgdorf,155,0,3,0,0,0,100.0
2020/1/2T12:00:00+00:00,Burgdorf,155,0,3,0,0,0,100.0
2020/1/2T13:00:00+00:00,Burgdorf,155,0,3,0,0,0,100.0
2020/1/2T14:00:00+00:00,Burgdorf,155,0,3,0,0,0,100.0
2020/1/2T15:00:00+00:00,Burgdorf,155,0,3,0,0,0,100.0
2020/1/2T16:00:00+00:00,Burgdorf,155,0,3,0,0,0,100.0
2020/1/2T17:00:00+00:00,Burgdorf,155,0,3,1,0,1,99.35
2020/1/2T18:00:00+00:00,Burgdorf,155,0,3,1,0,1,99.35
2020/1/2T19:00:00+00:00,Burgdorf,155,0,3,1,0,1,99.35
2020/1/2T20:00:00+00:00,Burgdorf,155,0,3,1,0,1,99.35
